Taxon	Scaffold	IsPartial	Gene1	Gene2	Sep	Code	Strand1	Strand2	Type1	Type2	MOGScore	COGSim	ExprSim	GOScore
511145	7023	0	14146	14147	82	Same	+	+	1	1	0.0431		0.395	1.000
511145	7023	0	14147	14148	2	Same	+	+	1	1	0.13302	Y	0.923	1.000
511145	7023	0	14148	14149	1	Same	+	+	1	1	0.23267	Y	0.909	1.000
511145	7023	0	14149	14150	214	Same	+	+	1	1	0.00308		0.415	
511145	7023	0	14150	14151	153	Convergent	+	-	1	1	0.01092		0.103	
511145	7023	0	14151	14152	70	Same	-	-	1	1	0.02838		-0.170	
511145	7023	0	14152	14153	279	Divergent	-	+	1	1	0	N	-0.187	1.000
511145	7023	0	14153	14154	115	Same	+	+	1	1	0.0419	N	0.293	1.000
511145	7023	0	14154	14155	35	Convergent	+	-	1	1	0.01117		0.145	
511145	7023	0	14155	14156	149	Same	-	-	1	1	0.04286		0.302	
511145	7023	0	14156	14158	26	Same	-	-	1	1	0.5		0.417	
511145	7023	0	14158	14159	377	Divergent	-	+	1	1	0		0.056	
511145	7023	0	14159	14160	89	Same	+	+	1	1	0.23568	Y	0.842	0.004
511145	7023	0	14160	14161	147	Same	+	+	1	1	0		0.428	1.000
511145	7023	0	14161	14163	194	Convergent	+	-	1	1	0		-0.027	
511145	7023	0	14163	1936200	-152	Same	-	-	1	1	0			
511145	7023	0	1936200	1936201	49	Divergent	-	+	1	6	0			
511145	7023	0	1936201	14164	483	Same	+	+	6	1	0			
511145	7023	0	14164	14165	60	Same	+	+	1	1	0.29231	N	0.476	1.000
511145	7023	0	14165	14166	191	Convergent	+	-	1	1	0	N	0.276	1.000
511145	7023	0	14166	14167	-81	Same	-	-	1	1	0	Y	0.717	0.015
511145	7023	0	14167	14168	307	Same	-	-	1	1	0	N	-0.085	1.000
511145	7023	0	14168	14169	103	Divergent	-	+	1	1	0.00419		0.002	
511145	7023	0	14169	14170	8	Same	+	+	1	1	0.01869		0.095	
511145	7023	0	14170	14171	43	Same	+	+	1	1	0.25375	N	0.740	1.000
511145	7023	0	14171	14172	0	Same	+	+	1	1	0.04502	N	0.750	1.000
511145	7023	0	14172	14173	125	Same	+	+	1	1	0.15385	N	0.739	1.000
511145	7023	0	14173	14174	2	Same	+	+	1	1	0.62559	N	0.577	1.000
511145	7023	0	14174	14175	66	Same	+	+	1	1	0.02844	N	0.051	1.000
511145	7023	0	14175	14176	167	Same	+	+	1	1	0.0032	N	0.021	1.000
511145	7023	0	14176	14177	456	Same	+	+	1	1	0.03412	Y	0.431	1.000
511145	7023	0	14177	14178	18	Same	+	+	1	1	0.34487	Y	0.898	0.001
511145	7023	0	14178	14180	262	Same	+	+	1	1	0		0.203	
511145	7023	0	14180	14181	86	Convergent	+	-	1	1	0.28571		0.230	
511145	7023	0	14181	14182	6	Same	-	-	1	1	0		0.282	1.000
